image,set,q1,q2,q3,q4,q5
er_pretest_lab_825.png,1,True,False,True,True,False
er_pretest_lab_829.png,2,False,True,True,False,False
er_pretest_lab_831.png,5,False,True,True,False,True
er_pretest_lab_832.png,5,False,True,False,True,False
er_pretest_lab_833.png,1,True,False,True,False,False
er_pretest_lab_835.png,4,False,True,True,False,False
er_pretest_lab_839.png,3,False,False,False,False,False
er_pretest_lab_845.png,2,True,False,True,True,True
er_pretest_lab_847.png,1,True,False,True,False,False
er_pretest_lab_848.png,1,False,False,True,True,False
er_pretest_lab_849.png,3,False,False,False,False,False
er_pretest_lab_851.png,4,True,True,True,True,False
er_pretest_lab_852.png,1,False,False,True,True,False
er_pretest_lab_854.png,5,False,False,False,False,True
er_pretest_lab_906.png,5,False,True,True,True,False
er_pretest_lab_911.png,1,True,False,True,True,False
er_pretest_lab_914.png,3,False,True,True,False,False
er_pretest_lab_916.png,4,True,True,False,True,True
er_pretest_lab_921.png,4,False,True,False,True,False
er_pretest_lab_924.png,3,False,True,False,False,False
er_pretest_lab_935.png,5,False,True,False,True,False
er_pretest_lab_936.png,3,False,False,True,False,False
er_pretest_lab_937.png,4,True,True,True,False,False
er_pretest_lab_938.png,1,False,False,True,True,True
er_pretest_lab_940.png,2,False,True,True,True,False
er_pretest_lab_941.png,3,False,False,False,False,False
er_pretest_lab_942.png,2,False,False,False,False,False
er_pretest_lab_944.png,2,False,True,False,False,True
er_pretest_lab_947.png,3,True,False,True,True,False
er_pretest_lab_948.png,2,False,False,False,True,False
er_pretest_lab_951.png,2,False,False,False,False,False
er_pretest_lab_955.png,4,True,True,False,False,True
er_pretest_watrin_1001.png,1,True,False,True,True,False
er_pretest_watrin_1003.png,3,True,False,True,False,False
er_pretest_watrin_1006.png,3,False,False,False,False,False
er_pretest_watrin_1007.png,4,False,True,True,True,False
er_pretest_watrin_1008.png,1,True,False,True,True,True
er_pretest_watrin_1009.png,3,False,False,True,True,False
er_pretest_watrin_1011.png,4,True,True,True,True,True
er_pretest_watrin_1012.png,4,True,True,True,True,True
er_pretest_watrin_1018.png,1,True,False,True,False,True
er_pretest_watrin_1021.png,4,True,True,False,True,False
er_pretest_watrin_1026.png,2,False,True,True,False,False
er_pretest_watrin_1029.png,5,True,True,False,False,False
er_pretest_watrin_1030.png,2,False,False,False,True,False
er_pretest_watrin_1031.png,5,False,False,False,False,False
er_pretest_watrin_1032.png,5,False,False,False,True,True
er_pretest_watrin_1033.png,2,False,True,True,False,True
er_pretest_watrin_1034.png,4,False,True,False,True,True
er_pretest_watrin_1037.png,3,False,False,False,False,False
er_pretest_watrin_1039.png,4,True,True,True,True,False
er_pretest_watrin_1040.png,4,True,True,False,False,True
er_pretest_watrin_1041.png,2,False,False,True,False,False
er_pretest_watrin_1042.png,1,False,False,True,False,False
er_pretest_watrin_1048.png,3,True,False,False,False,False
er_pretest_watrin_1049.png,4,True,True,True,True,False
er_pretest_watrin_1051.png,4,False,True,False,False,False
er_pretest_watrin_1052.png,1,False,False,True,True,True
er_pretest_watrin_1053.png,5,False,True,False,False,True
er_pretest_watrin_1057.png,5,False,False,False,False,True
er_pretest_watrin_805.png,1,False,False,True,True,False
er_pretest_watrin_806.png,3,True,False,True,False,False
er_pretest_watrin_807.png,2,False,False,False,False,False
er_pretest_watrin_814.png,2,False,True,True,False,False
er_pretest_watrin_821.png,1,False,False,True,True,False
er_pretest_watrin_826.png,4,True,True,True,True,False
er_pretest_watrin_827.png,5,False,False,True,True,True
er_pretest_watrin_840.png,5,False,True,False,True,True
er_pretest_watrin_843.png,1,True,False,False,False,False
er_pretest_watrin_903.png,1,False,False,False,True,True
er_pretest_watrin_904.png,4,True,True,False,True,False
er_pretest_watrin_909.png,1,False,False,True,True,False
er_pretest_watrin_910.png,5,False,True,False,False,True
er_pretest_watrin_912.png,3,False,False,True,False,False
er_pretest_watrin_919.png,5,False,True,True,False,True
er_pretest_watrin_923.png,4,False,True,False,True,False
er_pretest_watrin_926.png,3,True,False,True,True,False
er_pretest_watrin_927.png,2,False,True,False,False,False
er_pretest_watrin_929.png,1,True,False,True,True,True
er_pretest_watrin_930.png,3,True,False,True,False,True
er_pretest_watrin_932.png,2,False,False,False,False,False
er_pretest_watrin_934.png,5,True,True,False,True,False
er_pretest_watrin_943.png,3,True,False,True,False,False
er_pretest_watrin_945.png,2,True,True,False,False,False
er_pretest_watrin_950.png,2,False,False,False,True,False
er_pretest_watrin_952.png,5,False,True,True,False,True
er_pretest_watrin_953.png,1,True,False,False,True,False
er_pretest_watrin_954.png,2,False,True,True,True,False
er_pretest_watrin_956.png,2,False,True,True,False,False
normalization_posttest_lab_1001.png,2,True,True,True,True,True
normalization_posttest_lab_1003.png,2,True,True,True,False,True
normalization_posttest_lab_1006.png,1,True,True,False,True,False
normalization_posttest_lab_1007.png,4,True,True,True,True,True
normalization_posttest_lab_1008.png,4,False,True,False,True,False
normalization_posttest_lab_1009.png,3,True,False,True,True,True
normalization_posttest_lab_1011.png,4,True,True,True,True,True
normalization_posttest_lab_1012.png,1,False,True,True,False,False
normalization_posttest_lab_1018.png,4,False,True,False,False,True
normalization_posttest_lab_1021.png,4,False,True,False,True,False
normalization_posttest_lab_1026.png,2,True,True,True,True,True
normalization_posttest_lab_1029.png,4,True,True,True,False,True
normalization_posttest_lab_1030.png,1,True,False,True,False,False
normalization_posttest_lab_1031.png,3,True,True,True,True,False
normalization_posttest_lab_1032.png,5,False,True,False,False,False
normalization_posttest_lab_1033.png,3,True,True,True,True,True
normalization_posttest_lab_1034.png,1,False,True,True,True,True
normalization_posttest_lab_1037.png,2,True,True,True,False,True
normalization_posttest_lab_1039.png,1,False,True,True,False,True
normalization_posttest_lab_1040.png,1,False,True,False,False,True
normalization_posttest_lab_1041.png,2,True,True,True,False,True
normalization_posttest_lab_1042.png,4,False,True,False,True,False
normalization_posttest_lab_1048.png,2,False,False,True,True,True
normalization_posttest_lab_1049.png,4,False,True,False,False,False
normalization_posttest_lab_1051.png,3,False,False,False,True,True
normalization_posttest_lab_1052.png,3,False,True,True,True,False
normalization_posttest_lab_1053.png,4,False,False,False,False,False
normalization_posttest_lab_1057.png,4,True,True,False,False,False
normalization_posttest_lab_805.png,1,True,False,True,True,True
normalization_posttest_lab_806.png,3,True,True,False,True,True
normalization_posttest_lab_807.png,4,False,False,False,True,False
normalization_posttest_lab_814.png,1,False,True,True,False,True
normalization_posttest_lab_821.png,4,False,False,False,False,True
normalization_posttest_lab_826.png,3,True,True,False,True,True
normalization_posttest_lab_827.png,2,True,False,False,True,True
normalization_posttest_lab_840.png,4,True,True,False,False,True
normalization_posttest_lab_843.png,4,True,True,False,True,False
normalization_posttest_lab_903.png,3,True,True,False,True,False
normalization_posttest_lab_904.png,4,True,True,True,False,True
normalization_posttest_lab_905.png,3,True,False,False,True,False
normalization_posttest_lab_909.png,5,True,True,True,True,False
normalization_posttest_lab_910.png,1,True,True,True,True,False
normalization_posttest_lab_912.png,3,False,False,True,False,False
normalization_posttest_lab_919.png,1,False,True,True,False,True
normalization_posttest_lab_923.png,3,True,True,False,True,True
normalization_posttest_lab_926.png,1,True,True,True,True,False
normalization_posttest_lab_927.png,4,True,True,True,True,True
normalization_posttest_lab_929.png,2,True,True,False,True,True
normalization_posttest_lab_930.png,1,True,False,False,False,True
normalization_posttest_lab_932.png,5,False,False,False,False,False
normalization_posttest_lab_934.png,4,True,False,True,False,True
normalization_posttest_lab_943.png,1,False,False,False,False,False
normalization_posttest_lab_945.png,2,False,True,False,False,True
normalization_posttest_lab_950.png,4,False,True,False,True,False
normalization_posttest_lab_952.png,4,True,True,True,True,True
normalization_posttest_lab_953.png,1,True,False,True,True,True
normalization_posttest_lab_954.png,2,True,True,False,True,True
normalization_posttest_lab_956.png,2,True,True,True,True,True
normalization_posttest_watrin_1004.png,3,True,True,True,True,False
normalization_posttest_watrin_1015.png,4,False,True,True,True,False
normalization_posttest_watrin_1017.png,2,True,True,True,False,True
normalization_posttest_watrin_1036.png,3,False,True,True,True,True
normalization_posttest_watrin_1043.png,2,True,True,False,True,True
normalization_posttest_watrin_1047.png,4,False,False,True,False,True
normalization_posttest_watrin_1056.png,2,True,True,True,True,True
normalization_posttest_watrin_802.png,1,True,False,True,True,True
normalization_posttest_watrin_809.png,4,False,True,False,False,False
normalization_posttest_watrin_810.png,4,True,True,True,True,False
normalization_posttest_watrin_813.png,3,True,True,True,True,True
normalization_posttest_watrin_815.png,1,True,False,True,False,False
normalization_posttest_watrin_818.png,4,False,False,False,False,True
normalization_posttest_watrin_819.png,1,False,False,True,False,False
normalization_posttest_watrin_823.png,1,False,False,True,True,True
normalization_posttest_watrin_825.png,4,False,True,True,False,False
normalization_posttest_watrin_829.png,4,False,False,False,False,False
normalization_posttest_watrin_832.png,3,True,True,False,True,True
normalization_posttest_watrin_833.png,4,False,True,True,False,False
normalization_posttest_watrin_835.png,3,True,False,False,False,False
normalization_posttest_watrin_839.png,2,True,False,True,True,True
normalization_posttest_watrin_845.png,1,False,True,True,False,False
normalization_posttest_watrin_847.png,2,True,False,False,False,False
normalization_posttest_watrin_848.png,3,True,True,True,True,False
normalization_posttest_watrin_849.png,4,True,True,True,True,True
normalization_posttest_watrin_851.png,3,True,True,True,False,False
normalization_posttest_watrin_852.png,4,True,True,True,False,True
normalization_posttest_watrin_854.png,4,False,True,False,True,False
normalization_posttest_watrin_906.png,4,False,True,True,True,False
normalization_posttest_watrin_911.png,1,False,False,True,True,True
normalization_posttest_watrin_914.png,1,False,True,True,False,True
normalization_posttest_watrin_916.png,1,False,True,False,True,True
normalization_posttest_watrin_921.png,3,True,True,True,True,True
normalization_posttest_watrin_924.png,4,False,False,True,False,False
normalization_posttest_watrin_935.png,2,True,True,True,True,True
normalization_posttest_watrin_936.png,5,True,True,False,False,False
normalization_posttest_watrin_937.png,3,True,False,True,True,True
normalization_posttest_watrin_938.png,1,True,False,True,True,True
normalization_posttest_watrin_940.png,4,True,True,True,False,True
normalization_posttest_watrin_941.png,2,True,True,True,True,True
normalization_posttest_watrin_942.png,1,True,True,False,True,False
normalization_posttest_watrin_944.png,1,False,False,True,True,False
normalization_posttest_watrin_947.png,2,True,True,True,False,True
normalization_posttest_watrin_948.png,4,False,False,False,True,False
normalization_posttest_watrin_951.png,4,False,False,False,True,False
normalization_posttest_watrin_955.png,2,True,True,False,True,True
normalization_posttest_watrin_957.png,4,True,False,True,False,True
normalization_pretest_lab_1001.png,3,True,True,False,True,False
normalization_pretest_lab_1003.png,1,True,True,False,False,True
normalization_pretest_lab_1006.png,1,True,True,False,False,False
normalization_pretest_lab_1007.png,3,False,True,False,True,False
normalization_pretest_lab_1008.png,4,True,False,False,False,True
